_______June_2022_____________T-AIRS(^S^o^N^C) Anomaly vs 2007-2016              
   i   j     lon     lat    array(i,j)
  61   2  -59.00  -87.00        2.7173
  62   2  -57.00  -87.00        2.7173
  63   2  -55.00  -87.00        2.7173
  64   2  -53.00  -87.00        2.7173
  65   2  -51.00  -87.00        2.7173
  66   2  -49.00  -87.00        2.7173
  67   2  -47.00  -87.00        2.7173
  68   2  -45.00  -87.00        2.7173
  69   2  -43.00  -87.00        2.7173
  70   2  -41.00  -87.00        2.7173
  71   2  -39.00  -87.00        2.7173
  72   2  -37.00  -87.00        2.7173
  73   2  -35.00  -87.00        2.7173
  74   2  -33.00  -87.00        2.7173
  75   2  -31.00  -87.00        2.7173
  76   2  -29.00  -87.00        2.7173
  77   2  -27.00  -87.00        2.7173
  78   2  -25.00  -87.00        2.7173
  79   2  -23.00  -87.00        2.7173
  80   2  -21.00  -87.00        2.7173
  81   2  -19.00  -87.00        2.7173
  82   2  -17.00  -87.00        2.7173
  83   2  -15.00  -87.00        2.7173
  84   2  -13.00  -87.00        2.7173
  85   2  -11.00  -87.00        2.7173
  86   2   -9.00  -87.00        2.7173
  87   2   -7.00  -87.00        2.7173
  88   2   -5.00  -87.00        2.7173
  89   2   -3.00  -87.00        2.7173
  90   2   -1.00  -87.00        2.7173
  91   2    1.00  -87.00        2.7173
  92   2    3.00  -87.00        2.7173
  93   2    5.00  -87.00        2.7173
  94   2    7.00  -87.00        2.7173
  95   2    9.00  -87.00        2.7173
  96   2   11.00  -87.00        2.7173
  97   2   13.00  -87.00        2.7173
  98   2   15.00  -87.00        2.7173
  99   2   17.00  -87.00        2.7173
 100   2   19.00  -87.00        2.7173
 101   2   21.00  -87.00        2.7173
 102   2   23.00  -87.00        2.7173
 103   2   25.00  -87.00        2.7173
 104   2   27.00  -87.00        2.7173
 105   2   29.00  -87.00        2.7173
 106   2   31.00  -87.00        2.7173
 107   2   33.00  -87.00        2.7173
 108   2   35.00  -87.00        2.7173
 109   2   37.00  -87.00        2.7173
 110   2   39.00  -87.00        2.7173
 111   2   41.00  -87.00        2.7173
 112   2   43.00  -87.00        2.7173
 113   2   45.00  -87.00        2.7173
 114   2   47.00  -87.00        2.7173
 115   2   49.00  -87.00        2.7173
 116   2   51.00  -87.00        2.7173
 117   2   53.00  -87.00        2.7173
 118   2   55.00  -87.00        2.7173
 119   2   57.00  -87.00        2.7173
 120   2   59.00  -87.00        2.7173
 121   2   61.00  -87.00        2.7173
 122   2   63.00  -87.00        2.7173
 123   2   65.00  -87.00        2.7173
 124   2   67.00  -87.00        2.7173
 125   2   69.00  -87.00        2.7173
 126   2   71.00  -87.00        2.7173
 127   2   73.00  -87.00        2.7173
 128   2   75.00  -87.00        2.7173
 129   2   77.00  -87.00        2.7173
 130   2   79.00  -87.00        2.7173
 131   2   81.00  -87.00        2.7173
 132   2   83.00  -87.00        2.7173
 133   2   85.00  -87.00        2.7173
 134   2   87.00  -87.00        2.7173
 135   2   89.00  -87.00        2.7173
 136   2   91.00  -87.00        2.7173
 137   2   93.00  -87.00        2.7173
 138   2   95.00  -87.00        2.7173
 139   2   97.00  -87.00        2.7173
 140   2   99.00  -87.00        2.7173
 141   2  101.00  -87.00        2.7173
 142   2  103.00  -87.00        2.7173
 143   2  105.00  -87.00        2.7173
 144   2  107.00  -87.00        2.7173
 145   2  109.00  -87.00        2.7173
 146   2  111.00  -87.00        2.7173
 147   2  113.00  -87.00        2.7173
 148   2  115.00  -87.00        2.7173
 149   2  117.00  -87.00        2.7173
 150   2  119.00  -87.00        2.7173
 151   2  121.00  -87.00        2.7173
 152   2  123.00  -87.00        2.7173
 153   2  125.00  -87.00        2.7173
 154   2  127.00  -87.00        2.7173
 155   2  129.00  -87.00        2.7173
 156   2  131.00  -87.00        2.7173
 157   2  133.00  -87.00        2.7173
 158   2  135.00  -87.00        2.7173
 159   2  137.00  -87.00        2.7173
 160   2  139.00  -87.00        2.7173
 161   2  141.00  -87.00        2.7173
 162   2  143.00  -87.00        2.7173
 163   2  145.00  -87.00        2.7173
 164   2  147.00  -87.00        2.7173
 165   2  149.00  -87.00        2.7173
 166   2  151.00  -87.00        2.7173
 167   2  153.00  -87.00        2.7173
 168   2  155.00  -87.00        2.7173
 169   2  157.00  -87.00        2.7173
 170   2  159.00  -87.00        2.7173
 171   2  161.00  -87.00        2.7173
 172   2  163.00  -87.00        2.7173
 173   2  165.00  -87.00        2.7173
 174   2  167.00  -87.00        2.7173
 175   2  169.00  -87.00        2.7173
 176   2  171.00  -87.00        2.7173
 177   2  173.00  -87.00        2.7173
 178   2  175.00  -87.00        2.7173
 179   2  177.00  -87.00        2.7173
 180   2  179.00  -87.00        2.7173
   1   3 -179.00  -85.00        2.7173
   2   3 -177.00  -85.00        2.7173
   3   3 -175.00  -85.00        2.7173
   4   3 -173.00  -85.00        2.7173
   5   3 -171.00  -85.00        2.7173
   6   3 -169.00  -85.00        2.7173
   7   3 -167.00  -85.00        2.7173
   8   3 -165.00  -85.00        2.7173
   9   3 -163.00  -85.00        2.7173
  10   3 -161.00  -85.00        2.7173
  11   3 -159.00  -85.00        2.7173
  12   3 -157.00  -85.00        2.7173
  13   3 -155.00  -85.00        2.7173
  14   3 -153.00  -85.00        2.7173
  15   3 -151.00  -85.00        2.7173
  16   3 -149.00  -85.00        2.7173
  17   3 -147.00  -85.00        2.7173
  18   3 -145.00  -85.00        2.7173
  19   3 -143.00  -85.00        2.7173
  20   3 -141.00  -85.00        2.7173
  21   3 -139.00  -85.00        2.7173
  22   3 -137.00  -85.00        2.7173
  23   3 -135.00  -85.00        2.7173
  24   3 -133.00  -85.00        2.7173
  25   3 -131.00  -85.00        2.7173
  26   3 -129.00  -85.00        2.7173
  27   3 -127.00  -85.00        2.7173
  28   3 -125.00  -85.00        2.7173
  29   3 -123.00  -85.00        2.7173
  30   3 -121.00  -85.00        2.7173
  31   3 -119.00  -85.00        2.7173
  32   3 -117.00  -85.00        2.7173
  33   3 -115.00  -85.00        2.7173
  34   3 -113.00  -85.00        2.7173
  35   3 -111.00  -85.00        2.7173
  36   3 -109.00  -85.00        2.7173
  37   3 -107.00  -85.00        2.7173
  38   3 -105.00  -85.00        2.7173
  39   3 -103.00  -85.00        2.7173
  40   3 -101.00  -85.00        2.7173
  41   3  -99.00  -85.00        2.7173
  42   3  -97.00  -85.00        2.7173
  43   3  -95.00  -85.00        2.7173
  44   3  -93.00  -85.00        2.7173
  45   3  -91.00  -85.00        2.7173
  46   3  -89.00  -85.00        2.7173
  47   3  -87.00  -85.00        2.7173
  48   3  -85.00  -85.00        2.7173
  49   3  -83.00  -85.00        2.7173
  50   3  -81.00  -85.00        2.7173
  51   3  -79.00  -85.00        2.7173
  52   3  -77.00  -85.00        2.7173
  53   3  -75.00  -85.00        2.7173
  54   3  -73.00  -85.00        2.7173
  55   3  -71.00  -85.00        2.7173
  56   3  -69.00  -85.00        2.7173
  57   3  -67.00  -85.00        2.7173
  58   3  -65.00  -85.00        2.7173
  59   3  -63.00  -85.00        2.7173
  60   3  -61.00  -85.00        2.7173
  61   3  -59.00  -85.00        2.7173
  62   3  -57.00  -85.00        2.7173
  63   3  -55.00  -85.00        2.7173
  64   3  -53.00  -85.00        2.7173
  65   3  -51.00  -85.00        2.7173
  66   3  -49.00  -85.00        2.7173
  67   3  -47.00  -85.00        2.7173
  68   3  -45.00  -85.00        2.7173
  69   3  -43.00  -85.00        2.7173
  70   3  -41.00  -85.00        2.7173
  71   3  -39.00  -85.00        2.7173
  72   3  -37.00  -85.00        2.7173
  73   3  -35.00  -85.00        2.7173
  74   3  -33.00  -85.00        2.7173
  75   3  -31.00  -85.00        2.7173
  76   3  -29.00  -85.00        2.7173
  77   3  -27.00  -85.00        2.7173
  78   3  -25.00  -85.00        2.7173
  79   3  -23.00  -85.00        2.7173
  80   3  -21.00  -85.00        2.7173
  81   3  -19.00  -85.00        2.7173
  82   3  -17.00  -85.00        2.7173
  83   3  -15.00  -85.00        2.7173
  84   3  -13.00  -85.00        2.7173
  85   3  -11.00  -85.00        2.7173
  86   3   -9.00  -85.00        2.7173
  87   3   -7.00  -85.00        2.7173
  88   3   -5.00  -85.00        2.7173
  89   3   -3.00  -85.00        2.7173
  90   3   -1.00  -85.00        2.7173
  91   3    1.00  -85.00        2.7173
  92   3    3.00  -85.00        2.7173
  93   3    5.00  -85.00        2.7173
  94   3    7.00  -85.00        2.7173
  95   3    9.00  -85.00        2.7173
  96   3   11.00  -85.00        2.7173
  97   3   13.00  -85.00        2.7173
  98   3   15.00  -85.00        2.7173
  99   3   17.00  -85.00        2.7173
 100   3   19.00  -85.00        2.7173
 101   3   21.00  -85.00        2.7173
 102   3   23.00  -85.00        2.7173
 103   3   25.00  -85.00        2.7173
 104   3   27.00  -85.00        2.7173
 105   3   29.00  -85.00        2.7173
 106   3   31.00  -85.00        2.7173
 107   3   33.00  -85.00        2.7173
 108   3   35.00  -85.00        2.7173
 109   3   37.00  -85.00        2.7173
 110   3   39.00  -85.00        2.7173
 111   3   41.00  -85.00        2.7173
 112   3   43.00  -85.00        2.7173
 113   3   45.00  -85.00        2.7173
 114   3   47.00  -85.00        2.7173
 115   3   49.00  -85.00        2.7173
 116   3   51.00  -85.00        2.7173
 117   3   53.00  -85.00        2.7173
 118   3   55.00  -85.00        2.7173
 119   3   57.00  -85.00        2.7173
 120   3   59.00  -85.00        2.7173
 121   3   61.00  -85.00        2.7173
 122   3   63.00  -85.00        2.7173
 123   3   65.00  -85.00        2.7173
 124   3   67.00  -85.00        2.7173
 125   3   69.00  -85.00        2.7173
 126   3   71.00  -85.00        2.7173
 127   3   73.00  -85.00        2.7173
 128   3   75.00  -85.00        2.7173
 129   3   77.00  -85.00        2.7173
 130   3   79.00  -85.00        2.7173
 131   3   81.00  -85.00        2.7173
 132   3   83.00  -85.00        2.7173
 133   3   85.00  -85.00        2.7173
 134   3   87.00  -85.00        2.7173
 135   3   89.00  -85.00        2.7173
 136   3   91.00  -85.00        2.7173
 137   3   93.00  -85.00        2.7173
